epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,7641.6,1.4459,0.81813,0.00846,0.91422,0.84215,0.9087,0.82647,0.53868,0.46185,0.01071,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7760.61,1.43958,0.81246,0.00842,0.9216,0.84305,0.90666,0.82386,0.54236,0.46165,0.01089,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7884.19,1.43044,0.80961,0.00851,0.91733,0.8459,0.90651,0.8224,0.53912,0.48487,0.01075,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,8007.03,1.42729,0.80693,0.00842,0.91876,0.8419,0.9072,0.82524,0.53683,0.48313,0.01063,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,8130.7,1.42751,0.80848,0.00837,0.92404,0.83767,0.91121,0.82833,0.53223,0.48365,0.01048,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,8253.09,1.42294,0.80338,0.00837,0.9336,0.83408,0.91071,0.82933,0.53405,0.47136,0.01044,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8375.42,1.42132,0.8046,0.00831,0.92905,0.83498,0.91277,0.82845,0.53675,0.4696,0.01049,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,8497.31,1.41876,0.79959,0.0083,0.92025,0.84484,0.91234,0.83013,0.5397,0.46399,0.01057,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8618.54,1.42345,0.7913,0.00827,0.92962,0.84109,0.91265,0.83021,0.54129,0.45857,0.01061,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8740.28,1.42046,0.80153,0.00827,0.93064,0.83038,0.91103,0.82814,0.53709,0.47681,0.01047,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8862.92,1.41328,0.79952,0.00821,0.91283,0.84529,0.91228,0.83075,0.53793,0.46254,0.01048,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8984.74,1.40613,0.7842,0.00819,0.91589,0.84395,0.91218,0.83062,0.53578,0.46708,0.01036,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,9106.87,1.40414,0.78814,0.00818,0.92827,0.83587,0.91312,0.83165,0.53699,0.46068,0.01039,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,9228.69,1.39993,0.78716,0.00827,0.94357,0.82601,0.91424,0.83271,0.53539,0.46281,0.01034,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,9349.12,1.38897,0.77811,0.00814,0.9338,0.83229,0.91342,0.83078,0.5375,0.46202,0.0104,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9472.01,1.40369,0.78503,0.00814,0.92843,0.8377,0.91295,0.83039,0.53859,0.4678,0.01041,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,9594.14,1.39089,0.76731,0.00815,0.94305,0.83165,0.91453,0.83212,0.5393,0.46135,0.0104,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9732.04,1.39651,0.77407,0.00806,0.94209,0.8317,0.91513,0.83296,0.53954,0.4585,0.01041,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9873.26,1.38184,0.774,0.00794,0.93598,0.83229,0.91439,0.83408,0.53819,0.46771,0.01038,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
